Longitude,Latitude,OBJECTID,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,Route,primary_street,address_range,cross_location
-89.42321432,43.0318463,7361,4818,4818,Todd & Greenway (SB),This stop (#4818) is southbound on the 2936 block of Todd Dr nearside Greenway Vw,43.031844,-89.423215,40,Todd,2936,Greenway
-89.4275434,43.00495329,7362,4821,4821,S Fish Hatchery & Cheryl (NB),This stop (#4821) is northbound on the 2760 block of Fish Hatchery Rd (s) nearside Cheryl Dr,43.004951,-89.427544,49,S Fish Hatchery,2760,Cheryl
-89.47795438,43.01531725,7363,4822,4822,Hardrock & Mckee (SB),This stop (#4822) is southbound on the 2999 block of Hardrock Rd farside Mckee Rd,43.015315,-89.477955,"52, 59",Hardrock,2999,Mckee
-89.42854239,43.00793429,7364,4824,4824,Mickelson & S Fish Hatchery (WB),This stop (#4824) is westbound on the 2801 block of Mickelson Pkwy farside Fish Hatchery Rd (s),43.007932,-89.428543,"49, 59",Mickelson,2801,S Fish Hatchery
-89.44373231,43.03581028,7365,4830,4830,Seminole & Doncaster (SB),This stop (#4830) is southbound on the 1600 block of Seminole Hwy farside Doncaster Dr,43.035808,-89.443733,19,Seminole,1600,Doncaster
-89.43049234,43.02591929,7366,4834,4834,Post & Knollwood (SB),This stop (#4834) is southbound on the 3099 block of Post Rd farside Knollwood Way,43.025917,-89.430493,"40, 47",Post,3099,Knollwood
-89.47409637,43.01903425,7367,4836,4836,Fitchrona & King James (WB),This stop (#4836) is westbound on the 3099 block of Fitchrona Rd farside King James Way,43.019032,-89.474097,"52, 59",Fitchrona,3099,King James
-89.42322634,43.0263583,7368,4837,4837,Post & Leopold (EB),This stop (#4837) is eastbound on the 2599 block of Post Rd farside Leopold Way,43.026356,-89.423227,"40, 47",Post,2599,Leopold
-89.51940547,42.99409523,7369,4838,4838,E Verona & Hometown (WB),This stop (#4838) is westbound on the 698 block of Verona Ave (e) farside Hometown Cir,42.994093,-89.519406,75,E Verona,698,Hometown
-89.42305331,43.0348623,7370,4841,4841,Beltline S & Todd (EB),This stop (#4841) is eastbound on the 2701 block of Beltline Frontage (s) nearside Todd Dr,43.03486,-89.423054,18,Beltline S,2701,Todd
-89.45575237,43.01558427,7371,4842,4842,Mckee & Seminole (WB),This stop (#4842) is westbound on the 6000 block of Mckee Rd farside Seminole Hwy,43.015582,-89.455753,59,Mckee,6000,Seminole
-89.4049293,43.03679532,7372,4845,4845,Fish Hatchery & Emil (NB),This stop (#4845) is northbound on the 2599 block of Fish Hatchery Rd farside Emil St,43.036793,-89.40493,"18, 40, 47",Fish Hatchery,2599,Emil
-89.45953135,43.02465227,7373,4847,4847,Crescent & Allied (EB),This stop (#4847) is eastbound on the 4899 block of Crescent Rd farside Allied Dr,43.02465,-89.459532,"18, 19",Crescent,4899,Allied
-89.44421629,43.04375929,7374,4848,4848,Nakoma & Seminole (SB),This stop (#4848) is southbound on the 4100 block of Nakoma Rd farside Seminole Hwy,43.043757,-89.444217,19,Nakoma,4100,Seminole
-89.45920033,43.02923527,7375,4849,4849,Allied & Jenewein (NB),This stop (#4849) is northbound on the 2299 block of Allied Dr farside Jenewein Rd,43.029233,-89.459201,18,Allied,2299,Jenewein
-89.4507533,43.03826128,7376,4851,4851,Mohawk & Nakoma (EB),This stop (#4851) is eastbound on the 4323 block of Mohawk Dr farside Nakoma Rd,43.038259,-89.450754,19,Mohawk,4323,Nakoma
-89.45553534,43.02565627,7377,4856,4856,Crescent & Red Arrow (WB),This stop (#4856) is westbound on the 4600 block of Crescent Rd farside Red Arrow Trl,43.025654,-89.455536,18,Crescent,4600,Red Arrow
-89.45653732,43.03159127,7378,4861,4861,Red Arrow & Thurston (NB),This stop (#4861) is northbound on the 2099 block of Red Arrow Trl farside Thurston Ln,43.031589,-89.456538,"18, 19",Red Arrow,2099,Thurston
-89.42836939,43.00814029,7379,4862,4862,S Fish Hatchery & Mickelson (SB),This stop (#4862) is southbound on the 2800 block of Fish Hatchery Rd (s) nearside Mickelson Pkwy,43.008138,-89.42837,59,S Fish Hatchery,2800,Mickelson
-89.45089228,43.04605028,7380,4865,4865,S Midvale & Yuma (NB),This stop (#4865) is northbound on the 901 block of Midvale Blvd (s) farside Yuma Dr,43.046048,-89.450893,18,S Midvale,901,Yuma
-89.43524331,43.03491629,7381,4873,4873,Beltline S & River Bend (EB),This stop (#4873) is eastbound on the 3601 block of Beltline Frontage (s) nearside River Bend Rd,43.034914,-89.435244,18,Beltline S,3601,River Bend
-89.42512631,43.0351583,7382,4876,4876,Beltline S & Sergenians (WB),This stop (#4876) is westbound on the 2800 block of Beltline Frontage (s) opposite Sergenians,43.035156,-89.425127,"18, 40, 47",Beltline S,2800,Sergenians
-89.4483973,43.04021428,7383,4879,4879,Nakoma & Whenona (EB),This stop (#4879) is eastbound on the 4299 block of Nakoma Rd farside Whenona Dr,43.040212,-89.448398,19,Nakoma,4299,Whenona
-89.41069232,43.03145131,7384,4882,4882,Greenway & Fish Hatchery (WB),This stop (#4882) is westbound on the 1798 block of Greenway Cross farside Fish Hatchery Rd,43.031449,-89.410693,"18, 47",Greenway,1798,Fish Hatchery
-89.4251624,43.00490929,7385,4887,4887,Research Park & E Cheryl (NB),This stop (#4887) is northbound on the 2750 block of Research Park Dr nearside E Cheryl Pkwy,43.004907,-89.425163,"49, 59",Research Park,2750,E Cheryl
-89.51905947,42.99373822,7386,4889,4889,E Verona & Hometown (EB),This stop (#4889) is eastbound on the 699 block of Verona Ave (e) nearside Hometown Cir,42.993736,-89.51906,75,E Verona,699,Hometown
-89.41978536,43.0190623,7387,4894,4894,S Fish Hatchery & Caddis (SB),This stop (#4894) is southbound on the 3039 block of Fish Hatchery Rd (s) farside Caddis Bend,43.01906,-89.419786,"49, 75",S Fish Hatchery,3039,Caddis
-89.42703737,43.01387929,7388,4900,4900,S Fish Hatchery & Brendan (SB),This stop (#4900) is southbound on the 2950 block of Fish Hatchery Rd (s) nearside Brendan Ave,43.013877,-89.427038,59,S Fish Hatchery,2950,Brendan
-89.5406665,42.98903822,7389,4905,4905,W Verona & Legion (EB),This stop (#4905) is eastbound on the 507 block of Verona Ave (w) farside Legion St,42.989036,-89.540667,75,W Verona,507,Legion
-89.45399731,43.03496628,7390,4909,4909,Britta & Verona E (EB),This stop (#4909) is eastbound on the 4499 block of Britta Pkwy farside Verona Frontage (e),43.034964,-89.453998,19,Britta,4499,Verona E
-89.43150434,43.02698429,7391,4914,4914,Grandview & Sandwood (SB),This stop (#4914) is southbound on the 3298 block of Grandview Blvd nearside Sandwood Way,43.026982,-89.431505,"40, 47",Grandview,3298,Sandwood
-89.44896431,43.03785928,7392,4916,4916,Mohawk & Whenona (WB),This stop (#4916) is westbound on the 4300 block of Mohawk Dr farside Whenona Dr,43.037857,-89.448965,19,Mohawk,4300,Whenona
-89.54616451,42.98850522,7393,4918,4918,W Verona & Half Mile (WB),This stop (#4918) is westbound on the 600 block of Verona Ave (w) farside Half Mile Rd,42.988503,-89.546165,75,W Verona,600,Half Mile
