 property_id,tile_url,latitude,longitude,min_price,max_price,beds_range, prop_display_name,phone_number,bustop_within_100,inside_campus,fitness_within_200m,fitness_within_500m,fitness_within_1000m,market_within_200m,market_within_500m,market_within_1000m,within_unvCen_1km,within_unvCen_2km,within_unvCen_3km
1173,'https://d2cc5bro5bu049.cloudfront.net/292/17195135/tile.jpg',43.066002,-89.402603,895,1275, '1 - 2 BR',College Station,6086652023,no,no,no,no,yes,no,no,yes,no,yes,yes
585715,'https://d2cc5bro5bu049.cloudfront.net/9439/19706788/tile.jpg',43.068028,-89.388268,650,775, 'Studio - 1 BR',218 S. Bassett Street,6084224115,no,no,no,yes,yes,no,no,yes,no,no,yes
3172846,'https://d2cc5bro5bu049.cloudfront.net/139/28462505/tile.jpg',43.068872,-89.403799,2850,2950, '5 BR',35 N Mills Street,6088072345,yes,no,no,yes,yes,no,no,yes,no,yes,yes
3123799,'https://d2cc5bro5bu049.cloudfront.net/84201/25697840/tile.png',43.073416,-89.420673,1440,, '3 BR',412 Paunack Place,6087194061,yes,no,no,yes,yes,no,no,yes,yes,yes,yes
741159,'https://d2cc5bro5bu049.cloudfront.net/12433/7015798/tile.jpg',43.068756,-89.389732,770,, '1 BR',511 W Main St,6084780791,yes,no,no,yes,yes,no,yes,yes,no,no,yes
760981,'https://d2cc5bro5bu049.cloudfront.net/19637/18875671/tile.jpg',43.079292,-89.383075,1850,1900, '4 BR',323 E Johnson St,6087299305,no,no,no,yes,yes,no,no,yes,no,no,no
2037313,'https://d2cc5bro5bu049.cloudfront.net/19872/26066417/tile.jpg',43.071078,-89.414235,1900,, '3 BR',136 N Breese Terr,6203123828,yes,no,no,no,yes,no,no,yes,yes,yes,yes
1307832,'https://d2cc5bro5bu049.cloudfront.net/110/11143002/tile.jpg',43.070701,-89.384934,1565,, '3 BR',212 S Henry St,6082569500,yes,no,no,yes,yes,no,no,yes,no,no,no
1307693,'https://d2cc5bro5bu049.cloudfront.net/110/11142974/tile.jpg',43.065520,-89.406736,2150,, '4 BR',1228 Mound St,6082569500,no,no,no,no,yes,no,no,no,no,yes,yes
833683,'https://d2cc5bro5bu049.cloudfront.net/36708/7058118/tile.jpeg',43.103001,-89.301553,1200,, '2 BR',228 Swanton Rd,9203700045,no,no,no,no,no,no,no,no,no,no,no
2214479,'https://d2cc5bro5bu049.cloudfront.net/19510/18720204/tile.jpg',43.076957,-89.396029,1200,1450, '1 BR',The Surf 1-bedroom,6082136908,no,no,no,yes,yes,no,yes,yes,no,yes,yes
1109029,'https://d2cc5bro5bu049.cloudfront.net/48808/9302658/tile.jpg',43.070775,-89.408185,1440,2600, '2 - 4 BR',The Dayton Place Apartments,6082128599,no,no,no,no,yes,no,no,no,yes,yes,yes
2011049,'https://d2cc5bro5bu049.cloudfront.net/12231/17149197/tile.jpg',43.071310,-89.391645,1250,, '2 BR',448 W Mifflin,6082220365,no,no,no,yes,yes,no,yes,yes,no,no,yes
1224166,'https://d2cc5bro5bu049.cloudfront.net/19664/10361065/tile.jpg',43.066902,-89.409276,0,, '6 BR',1502 Adams Street,6082560525,yes,no,no,no,yes,no,no,yes,no,yes,yes
1878426,'https://d2cc5bro5bu049.cloudfront.net/19664/16226630/tile.jpg',43.066960,-89.408752,0,, '6 BR',21 S Randall Avenue,6082560525,yes,no,no,no,yes,no,no,no,no,yes,yes
1912651,'https://d2cc5bro5bu049.cloudfront.net/19664/16226913/tile.jpg',43.069409,-89.390845,2950,, '5 BR',517 W. Washington Ave,6082560525,yes,no,yes,yes,yes,no,yes,yes,no,no,yes
1912640,'https://d2cc5bro5bu049.cloudfront.net/19664/16226674/tile.jpg',43.069929,-89.390899,3600,, '6 BR',505 W. Washington Ave,6084675106,yes,no,yes,yes,yes,no,yes,yes,no,no,yes
